representative_id,repeat,wp,representative_type,location,actual_K,model_tolerance_pass,model_tolerance_required_K,required_K,strict_pass
S5_DCA_compromise,1,DC-A,compromise,he_cond_cold_end,27.268580105767114,True,4.75,5.0,True
S5_DCA_compromise,1,DC-A,compromise,he_cond_hot_end,11.85828068067724,True,4.75,5.0,True
S5_DCA_compromise,1,DC-A,compromise,he_cond_internal,5.0,True,4.75,5.0,True
S5_DCA_compromise,1,DC-A,compromise,he_evap_cold_end,50.13824987617454,True,2.8499999999999996,3.0,True
S5_DCA_compromise,1,DC-A,compromise,he_evap_hot_end,33.07793029047036,True,2.8499999999999996,3.0,True
S5_DCA_compromise,1,DC-A,compromise,he_evap_internal,3.0,True,2.8499999999999996,3.0,True
S5_DCA_compromise,1,DC-A,compromise,hp_cond_cold_end,48.16349805086128,True,2.8499999999999996,3.0,True
S5_DCA_compromise,1,DC-A,compromise,hp_cond_hot_end,28.97082353677098,True,2.8499999999999996,3.0,True
S5_DCA_compromise,1,DC-A,compromise,hp_cond_internal,3.0,True,2.8499999999999996,3.0,True
S5_DCA_compromise,1,DC-A,compromise,hp_evap_cold_end,4.99999999998596,True,4.75,5.0,True
S5_DCA_compromise,1,DC-A,compromise,hp_evap_hot_end,7.6923061624298725,True,4.75,5.0,True
S5_DCA_compromise,2,DC-A,compromise,he_cond_cold_end,27.268580105767114,True,4.75,5.0,True
S5_DCA_compromise,2,DC-A,compromise,he_cond_hot_end,11.85828068067724,True,4.75,5.0,True
S5_DCA_compromise,2,DC-A,compromise,he_cond_internal,5.0,True,4.75,5.0,True
S5_DCA_compromise,2,DC-A,compromise,he_evap_cold_end,50.13824987617454,True,2.8499999999999996,3.0,True
S5_DCA_compromise,2,DC-A,compromise,he_evap_hot_end,33.07793029047036,True,2.8499999999999996,3.0,True
S5_DCA_compromise,2,DC-A,compromise,he_evap_internal,3.0,True,2.8499999999999996,3.0,True
S5_DCA_compromise,2,DC-A,compromise,hp_cond_cold_end,48.16349805086128,True,2.8499999999999996,3.0,True
S5_DCA_compromise,2,DC-A,compromise,hp_cond_hot_end,28.97082353677098,True,2.8499999999999996,3.0,True
S5_DCA_compromise,2,DC-A,compromise,hp_cond_internal,3.0,True,2.8499999999999996,3.0,True
S5_DCA_compromise,2,DC-A,compromise,hp_evap_cold_end,4.99999999998596,True,4.75,5.0,True
S5_DCA_compromise,2,DC-A,compromise,hp_evap_hot_end,7.6923061624298725,True,4.75,5.0,True
S5_DCA_density,1,DC-A,density,he_cond_cold_end,16.339368548351672,True,4.75,5.0,True
S5_DCA_density,1,DC-A,density,he_cond_hot_end,12.001414365323797,True,4.75,5.0,True
S5_DCA_density,1,DC-A,density,he_cond_internal,5.0,True,4.75,5.0,True
S5_DCA_density,1,DC-A,density,he_evap_cold_end,21.76827569890969,True,2.8499999999999996,3.0,True
S5_DCA_density,1,DC-A,density,he_evap_hot_end,51.455198583997856,True,2.8499999999999996,3.0,True
